text,label,description
陈雪在办公室里整理文件，一切都很平静。,25,平淡内容
天气很好，阳光明媚，街道上人来人往。,22,平淡内容
陈雪坐在咖啡厅里，看着窗外的行人。,23,平淡内容
陈雪听到身后传来脚步声，她加快步伐，心跳加速。,35,轻微紧张
陈雪发现文件中有可疑的线索，开始警觉。,32,轻微紧张
陈雪意识到自己可能被监视，心跳加速。,38,轻微紧张
陈雪发现被跟踪，开始制定逃跑计划。,42,轻微紧张
陈雪与敌人正面交锋，两人四目相对，空气仿佛凝固。,55,明显紧张
陈雪发现自己的上司就是幕后黑手，世界观崩塌。,58,明显紧张
陈雪被迫在同伴和正义之间做出选择，每一秒都是煎熬。,62,明显紧张
曾共事多年的刑侦警长竟然在收网行动中放了黑枪击中陈雪的右肩，协助毒贩乘船逃离,75,高度紧张
陈雪目睹同伴死亡，情绪崩溃，无法接受现实。,80,高度紧张
陈雪发现整个警察局都被渗透，孤立无援，生死未卜。,78,高度紧张
陈雪在爆炸中失去意识，醒来时发现自己被绑在椅子上，面前是曾经信任的同事。,82,高度紧张
陈雪被迫在同伴和正义之间做出选择，每一秒都是煎熬，生死攸关。,90,极度紧张
陈雪发现整个警察局都被渗透，孤立无援，生死未卜，绝望中寻找最后一线希望。,95,极度紧张
陈雪在爆炸中失去意识，醒来时发现自己被绑在椅子上，面前是曾经信任的同事，背叛的冲击让她几乎崩溃。,88,极度紧张
