text,score,category
拳风炸裂，两道刚猛劲力凌空相撞，气浪如涟漪般爆开,46.0,1.武侠对决高评分样本
左拳如锤，硬撼右拳如铁，骨节交击声如金石迸裂,54.0,1.武侠对决高评分样本
未等余劲消散，第二拳已至，两股霸道之力再度对冲，地面无声龟裂,75.0,1.武侠对决高评分样本
重拳破空而来，却在接触瞬间如泥牛入海，被绵柔掌劲层层卸去,65.0,1.武侠对决高评分样本
拳势未老，化拳为指，一点寒芒直刺掌心要穴，却被另一股缠丝劲黏住，力道如坠漩涡，消弭于无形,76.0,1.武侠对决高评分样本
拳影如暴雨倾泻，每一击都带出尖锐破空声，却全数落空,45.0,1.武侠对决高评分样本
对方身形如鬼魅，在拳缝间游走，反手一记寸拳突刺，直取中线,65.0,1.武侠对决高评分样本
拳未至，劲风已刺得肌肤生疼,71.0,1.武侠对决高评分样本
他轻轻握住她的手，低声说道：'你的手有点冷,34.0,2.情感互动高评分样本
'她脸一红，想要抽回手，却被他握得更紧：'别躲,54.0,2.情感互动高评分样本
'她低下头，声音轻得几乎听不见：'你……你这是什么意思,68.0,2.情感互动高评分样本
'他微微一笑，靠近她耳边：'你觉得呢,86.0,2.情感互动高评分样本
',1.0,2.情感互动高评分样本
她抬头看向他，眼神中带着一丝期待：'你刚才说的话，是认真的吗,56.0,2.情感互动高评分样本
'他微微一笑，靠近她耳边：'你觉得呢,76.0,2.情感互动高评分样本
'她的心跳加速，耳根泛红，却不敢抬头看他,45.0,2.情感互动高评分样本
他轻轻抬起她的下巴，目光温柔,65.0,2.情感互动高评分样本
他站在她身后，轻声说道：'今天的月色真美,45.0,2.情感互动高评分样本
'她转过身，笑道：'是啊，难得有这么好的天气,2.0,2.情感互动高评分样本
'他看着她，眼神中带着一丝温柔：'但最美的，还是你,35.0,2.情感互动高评分样本
'她愣了一下，随即露出一丝羞涩的笑容：'你什么时候学会说这种话了,45.0,2.情感互动高评分样本
',1.0,2.情感互动高评分样本
陈雪发现文件中有可疑的线索，开始警觉,36.0,3.悬疑推理高评分样本
她仔细检查每一个细节，心跳加速，仿佛有什么重要的秘密即将浮出水面,45.0,3.悬疑推理高评分样本
陈雪听到身后传来脚步声，她加快步伐，心跳加速,88.0,3.悬疑推理高评分样本
脚步声越来越近，她知道自己被跟踪了，必须想办法摆脱,91.0,3.悬疑推理高评分样本
陈雪与敌人正面交锋，两人四目相对，空气仿佛凝固,75.0,3.悬疑推理高评分样本
她知道这是生死攸关的时刻，不能有丝毫大意,45.0,3.悬疑推理高评分样本
陈雪小心翼翼地推开那扇古老的门，门轴发出刺耳的吱嘎声,65.0,4.冒险探索高评分样本
门后是一条幽深的通道，空气中弥漫着潮湿和霉味,72.0,4.冒险探索高评分样本
她点燃火把，火光在墙壁上投下摇曳的影子,25.0,4.冒险探索高评分样本
突然，地面开始震动，石块从天花板上掉落,73.0,4.冒险探索高评分样本
陈雪迅速闪避，但通道开始坍塌,71.0,4.冒险探索高评分样本
她必须尽快找到出口，否则就会被活埋在这里,75.0,4.冒险探索高评分样本
陈雪发现了一个隐藏的机关，她仔细研究着墙壁上的符文,45.0,4.冒险探索高评分样本
这些符文似乎蕴含着某种古老的秘密，如果她能破解，就能找到宝藏的所在,26.0,4.冒险探索高评分样本
朝堂之上，群臣肃立，气氛凝重,45.0,5.政治权谋高评分样本
陈雪站在大殿中央，面对着满朝文武，她知道今天将决定自己的命运,65.0,5.政治权谋高评分样本
皇帝的目光如鹰隼般锐利，让她感到巨大的压力,67.0,5.政治权谋高评分样本
陈雪在朝堂上揭露了奸臣的阴谋，但对方早有准备，反而倒打一耙,82.0,5.政治权谋高评分样本
她必须小心应对，否则不仅会失去官职，还可能危及性命,35.0,5.政治权谋高评分样本
陈雪与政敌在朝堂上唇枪舌战，每一句话都暗藏杀机,45.0,5.政治权谋高评分样本
她必须用智慧和勇气来应对这场政治斗争，稍有不慎就会万劫不复,39.0,5.政治权谋高评分样本
陈雪盘坐在洞府中，体内真气如江河般奔腾,42.0,6.仙侠修炼高评分样本
她正在冲击新的境界，这是修炼路上最危险的时刻，稍有不慎就会走火入魔,68.0,6.仙侠修炼高评分样本
天劫降临，雷声滚滚，电光闪烁,79.0,6.仙侠修炼高评分样本
陈雪站在山顶，面对着这天地之威,36.0,6.仙侠修炼高评分样本
她必须承受住天劫的考验，才能突破到更高的境界,42.0,6.仙侠修炼高评分样本
陈雪在秘境中发现了上古仙人的传承，但想要获得传承，必须通过重重考验,26.0,6.仙侠修炼高评分样本
每一关都充满危险，稍有不慎就会身死道消,21.0,6.仙侠修炼高评分样本
林峰在办公室里整理文件，突然发现了一份可疑的合同,39.0,7.现代都市高评分样本
他的心跳开始加速，这份合同可能隐藏着巨大的秘密,45.0,7.现代都市高评分样本
苏雨小心翼翼地跟踪着那个神秘的男人，她必须保持距离，不能被发现,68.0,7.现代都市高评分样本
每一步都充满危险，但她不能退缩,58.0,7.现代都市高评分样本
张伟在朝堂上揭露了奸臣的阴谋，但对方早有准备，反而倒打一耙,88.0,7.现代都市高评分样本
他必须小心应对，否则不仅会失去官职，还可能危及性命,67.0,7.现代都市高评分样本
皇后站在大殿中央，面对着满朝文武，她知道今天将决定自己的命运,45.0,8.古装宫廷高评分样本
皇帝的目光如鹰隼般锐利，让她感到巨大的压力,65.0,8.古装宫廷高评分样本
贵妃在朝堂上唇枪舌战，每一句话都暗藏杀机,45.0,8.古装宫廷高评分样本
她必须用智慧和勇气来应对这场政治斗争，稍有不慎就会万劫不复,55.0,8.古装宫廷高评分样本
陈雪发现了一个惊天阴谋，有人要谋害皇帝,85.0,8.古装宫廷高评分样本
她必须在保护皇帝的同时，揭露幕后黑手，但时间紧迫，敌人随时可能行动,79.0,8.古装宫廷高评分样本
陈雪在会议室里面对着竞争对手，她知道今天将决定公司的命运,55.0,9.商战职场高评分样本
对方的目光如鹰隼般锐利，让她感到巨大的压力,54.0,9.商战职场高评分样本
陈雪在谈判桌上揭露了对方的阴谋，但对方早有准备，反而倒打一耙,85.0,9.商战职场高评分样本
