text,label,description
陈雪在办公室里整理文件，一切都很平静。,22,平淡内容
天气很好，阳光明媚，街道上人来人往。,25,平淡内容
陈雪坐在咖啡厅里，看着窗外的行人。,28,平淡内容
陈雪在图书馆里安静地看书。,20,平淡内容
陈雪发现文件中有可疑的线索，开始警觉。,35,轻微紧张
陈雪听到身后传来脚步声，她加快步伐，心跳加速。,38,轻微紧张
陈雪注意到有人在跟踪她，她开始紧张。,42,轻微紧张
陈雪发现门锁被人动过，她立即警觉起来。,40,轻微紧张
陈雪与敌人正面交锋，两人四目相对，空气仿佛凝固。,55,明显紧张
陈雪在黑暗的巷子里被包围，她必须想办法逃脱。,60,明显紧张
陈雪发现自己的身份暴露，敌人正在逼近。,58,明显紧张
陈雪在电梯里遇到可疑人员，电梯突然停了。,52,明显紧张
曾共事多年的刑侦警长竟然在收网行动中放了黑枪击中陈雪的右肩，协助毒贩乘船逃离,75,高度紧张
陈雪被敌人抓住，他们威胁要杀死她的家人。,80,高度紧张
陈雪发现炸弹即将爆炸，她只有30秒时间拆除。,85,高度紧张
陈雪在高速公路上被追杀，车辆失控冲向悬崖。,78,高度紧张
爆炸声震耳欲聋，陈雪被冲击波掀翻，眼前一片黑暗，生死未卜。,95,极度紧张
陈雪被敌人注射了毒药，她必须在10分钟内找到解药。,90,极度紧张
陈雪被困在着火的建筑里，浓烟滚滚，出口被堵死。,88,极度紧张
陈雪发现自己的女儿被绑架，绑匪要求她独自前往废弃工厂。,92,极度紧张
陈雪在雨中等待，不知道接下来会发生什么。,30,轻微紧张
陈雪看到血从门缝里渗出来，她慢慢推开门。,65,明显紧张
"陈雪在电话里听到女儿的哭声，绑匪说：""你只有一小时。""",85,高度紧张
陈雪发现自己被锁在冷冻车里，温度正在快速下降。,70,明显紧张
陈雪看到敌人举起枪，她知道这是最后的机会。,88,极度紧张
陈雪在电梯里，突然听到枪声，电梯开始下坠。,82,高度紧张
陈雪发现自己的车被人动了手脚，刹车失灵了。,75,高度紧张
陈雪在黑暗中摸索，突然摸到一具冰冷的尸体。,90,极度紧张
陈雪听到身后传来脚步声，她加快步伐，心跳加速。,38,轻微紧张
陈雪在办公室里整理文件，一切都很平静。,22,平淡内容
