Unnamed: 0,Unnamed: 1,text,label,Unnamed: 4,new_label
20.txt,0,第20章 封锁夜 傍晚，警报在旧港区的上空拖出长长一条红线，像被人用油彩划过。路口拉起黄色的封锁带，武装警察把持两端，探照灯在雨幕里打成一块块白。传言扩散得很快：仓库里混入了致命杂质的“翡翠泪”，有人已倒下。街道被清空，窗帘缝里露出几只眼睛。陈雪把帽檐压低，从侧巷切入封锁区，鞋底溅起的水花很快就被雨洗平。她有一张临时通行证——那是另一个名字，另一张脸。 仓库的门虚掩着，里面的光像发霉的黄。塑料布一张张盖着什么，边角被风掀起，露出黑色的鞋底和扭曲的手指。空气里有甜得过分的味道，像过期的糖。陈雪把屏幕调到最暗，一张一张拍：时间、位置、覆盖的方向、尸体的分布。她的喉咙忽然像被一只看不见的手捏住——角落里有一张很年轻的脸，雨水从屋檐滴下，刚好砸在他的眼角，像他在哭。,28,0.021405739,22.59790958841009
03.txt,1,“这页是新加的。”他把指尖按在一行字上，“‘百吉’。” 阿敏站在远处，心里像有人把一枚石头丢进水里，涟漪一圈圈向外推。她不记得自己何时被写上这本账，但她知道某个时候，自己确实对人点过一次头——也许是为了换一盒更便宜的药，也许只是为了让妹妹在咳嗽之夜睡一会儿。 陈雪对讲里传来：“可以上钩了。”她却没动。镜头里，阿敏正一步一步靠近货箱，脸色发白，却没有退。陈雪想起培训讲义上那句干巴巴的话：**“情报人员不得在任务中发展私人救助行为。”**她把手指扣紧，像抓住自己。,3,0.022229045,25.656901716319794
20.txt,1,仓库的门虚掩着，里面的光像发霉的黄。塑料布一张张盖着什么，边角被风掀起，露出黑色的鞋底和扭曲的手指。空气里有甜得过分的味道，像过期的糖。陈雪把屏幕调到最暗，一张一张拍：时间、位置、覆盖的方向、尸体的分布。她的喉咙忽然像被一只看不见的手捏住——角落里有一张很年轻的脸，雨水从屋檐滴下，刚好砸在他的眼角，像他在哭。 她后退一步，探照灯忽然从外面扫进来，白得像冰。外面的扩音器“啪”地一声接通，声音压低、干净、带着熟悉的节拍：“停下，陈督察。”她像被人从背后抓住衣领，整个人在空气里被硬生生向后拉。她不回头，先把手机塞进袖口，又把袖口拉紧。脚步声从不同方向靠拢，雨打在封锁线上的声音像数拍子。她侧身，身体贴住墙，像一条影。 “你来这儿做什么？”扩音器的声音换了角度，像从她耳鼓里发出来。她在心里迅速把路线摊开——从靠海的窗出去，穿过堆箱，翻过那段低墙，到巷尾的废弃栅栏，那里有一截被剪开的铁丝。她把这条路在心里又过了一遍，突然想起第十章雨夜的那句判断：“这不是事故，这是投毒。”她几乎听见自己的心跳，像在海底时那样，把世界的声音都敲碎。她的脚抬起，落下，身体像一条被风推动的线，悄悄地，从光与影的缝里，往外走。她知道，走出去的那一刻，棋盘就不再是他们原先摆的样子了。,30,0.037073705,44.913430367144706
08.txt,2,陈雪在附近的楼顶观察，会所的灯像一群安静的鱼。对讲里同事说：“看到目标车牌，金融街那条线的人进了。” “再等等。” 地下库房里，几个穿白大褂的人在调配新样，“翡翠泪”的瓶子排成整齐的一列，像一排小小的灯塔。一个年轻技师微微咳嗽，摘下口罩，鼻翼发红。领班皱眉，把他赶了出去。,12,0.052957652,21.52248607621531
20.txt,2,“你来这儿做什么？”扩音器的声音换了角度，像从她耳鼓里发出来。她在心里迅速把路线摊开——从靠海的窗出去，穿过堆箱，翻过那段低墙，到巷尾的废弃栅栏，那里有一截被剪开的铁丝。她把这条路在心里又过了一遍，突然想起第十章雨夜的那句判断：“这不是事故，这是投毒。”她几乎听见自己的心跳，像在海底时那样，把世界的声音都敲碎。她的脚抬起，落下，身体像一条被风推动的线，悄悄地，从光与影的缝里，往外走。她知道，走出去的那一刻，棋盘就不再是他们原先摆的样子了。,30,0.060115832,26.720848630448636
15.txt,1,“没看见。”他说。 “可我——”年轻警员吞了一口唾沫，“我拍到了，时间、位置、船号…” 大卫起身，走到窗前，窗外港口的灯像一地被打碎的玻璃。他没有回头，背影把年轻警员的脸遮在阴里：“照片，交出来。”,28,0.081072564,21.9926580745073
06.txt,5,陈雪看着她，没有回答。,5,0.085311767,21.425012734649165
18.txt,3,车到站，开门的气压声像一声短促的叹息。阿敏把妹妹抱上车，手却没有松。陈雪握住她手背，指尖压了一下，像把某种承诺按进肉里。车门关上，车开走，车窗里妹妹把钥匙灯按亮又按灭，亮灭之间，阿敏的眼泪在眼眶里打转，却没有掉。她站在原地很久，直到风把摊位上的油香也吹散了，街口只剩下路灯在数自己的影子。,5,0.09824469,20.349534638192537
09.txt,2,“哪来的风？” 阿敏没回答。她把橘络一丝丝扯下来，堆成一小团，像一个弱小的堡垒。她忽然想起小时候在河边捡到的透明石子，举到阳光下像一滴凝固的水——那时候她以为所有漂亮的东西都是不会坏的。 陈雪这天没有联系她们。她在准备另一件事：今晚会有一批劣质货流入旧港东区。线人提醒，“有人偷工减料，为了追产量。”劣质意味着不稳定，意味着意外，意味着——她不往下想。,25,0.104022135,28.5223640478936
10.txt,3,年轻警员顶着雨往前挤，抓住一个少年的胳膊，少年回头咬了他一口，牙印深深。警员一愣，松手时被另一个人推倒在地。他看见自己的手电在水里滚，光束乱跳，照亮了一个东西——一本湿透的账本，纸页粘在一起，封皮上两个字浮起又沉下：“百吉”。 阿敏的妹妹开始抽搐。阿敏抱得更紧，嘴唇在发抖。陈雪冲过去，一手拨开人，一手抓住阿敏：“跟我走！” 两人几乎是被雨推着往前跑。身后有玻璃碎裂的声音，有人喊“救命”，有人喊妈妈，有人嘶吼着念不成句。雨水把血味冲浅了，但另一种甜腻的味道更明显了。,51,0.109655382,20.89217859317382
